Title,Location,Fully Funded,Application Fee Waiver,Allowance,Apply Link,Deadline
"Research Student Attachment Programme, The Hong-Kong Polytechnic University, Hong-Kong","Hong Kong ,Hong Kong S.A.R.",No,No,No,https://www.polyu.edu.hk/gs/prospective-students/rsap_incoming/,05/31/2024
"Doctoral Fellowships in Machine Learning, University of Copenhagen, Denmark","Conpehangen ,Denmark",No,No,No,https://employment.ku.dk/phd/?show=161521,05/13/2024
"PhD Program in Aerospace Engineering, TU Delft, The Netherlands","Amsterdam ,Netherlands The",No,No,No,https://www.tudelft.nl/over-tu-delft/werken-bij-tu-delft/vacatures/details/?nPostingId=5852&nPostingTargetId=17180&id=QEZFK026203F3VBQBLO6G68W9&LG=UK&languageSelect=UK&mask=external,06/02/2024
"Doctoral Position in Mechanobiology, University of Tübingen, Germany","Munich ,Germany",No,No,No,https://www.cmfi.uni-tuebingen.de/en/career/open-positions/offer/phd-student-en-project-on-metabolome-in-cancer-immunotherapy-1-1,06/01/2024
"Doctoral Research in Metabolic Signaling, University of Fribourg, Switzerland","Freiburg ,Switzerland",No,No,No,https://cfatg.org/en/offres_emploi/phd-students-in-autophagy-and-metabolic-signaling-2/,07/01/2024
"PhD Scholarship in Particle Physics, University of Liège, Belgium","Liège ,Belgium",No,No,No,https://inspirehep.net/jobs/2769416,06/30/2024
"Doctoral Degree Program in Microbiology, University of Warsaw, Poland","Warsaw ,Poland",No,No,No,https://projekty.ncn.gov.pl/opisy/589166-pl.pdf,05/30/2024
"PhD Studentship in Machine Learning, University of Southampton, United Kingdom","Southampton ,United Kingdom",No,No,No,https://student-selfservice.soton.ac.uk/BNNRPROD/bzsksrch.P_Search,08/30/2024
"Postdoctoral Position in Pharmaceutical Sciences, University of Kentucky, United States","Kentucky ,United States",No,No,No,https://ukjobs.uky.edu/postings/506312,06/30/2024
"Postdoctoral Researcher in Humanitarian Design, University of Copenhagen, Denmark","Conpehangen ,Denmark",No,No,No,https://jonathanlukeaustin.com/2024/03/27/hiring-postdoc-in-humanitarian-design/,09/01/2024
"International PhD Positions: Computational Biology, Leibniz Institute, Germany","Leibniz ,Germany",No,No,No,https://donertas-group.github.io/joinus/,05/12/2024
"MSCA Postdoctoral Fellowship Opportunity at KU Leuven, Belgium","Leuven ,Belgium",No,No,No,https://research.kuleuven.be/EU/f/extra/msca,09/11/2024
"Postdoctoral Degree Fellowships at Smithsonian Tropical Research Institute, Panama","Panama ,Panama",No,No,No,https://stri.si.edu/academic-programs/fellowships/tropical-animal-behavior-3-year-fellowship,07/15/2024
"Doctoral Degree Fellowship in Distributed Learning, Aarhus University, Denmark","Aarhus ,Denmark",No,No,No,https://phd.tech.au.dk/for-applicants/apply-here/saeropslag/distributed-learning-and-inference-for-artificial-intelligence-of-things,05/15/2024
"Fully funded Bachelor, Master and PhD Scholarships program for studying in Kazakhstani Universities, Kazakhstan","Multiple ,Kazakhstan",No,No,No,https://enic-kazakhstan.edu.kz/en/stipendialnye-programmy/operativnaya-informaciya-1,05/31/2024
"Durham PhD Programme Scholarship, Durham University, United Kingdom","Durham ,United Kingdom",No,No,No,https://www.dur.ac.uk/business/programmes/phd/,05/31/2024
"Masters and Doctoral Scholarships in Machine Learning, Queen University, Canada","Ontario ,Canada",Yes,No,No,https://www.xiaodanzhu.com/docs/recruiting_en.pdf,05/30/2024
"PhD and Master Internship Positions, University of Franche-Comté, France","Paris ,France",No,No,No,https://www.quantiki.org/position/phd-and-master-internship-positions-quantum-information-theory-universit%C3%A9-de-franche-comt%C3%A9,10/31/2024
"PhD Fellowship in Microbial Ecology, University of Bergen, Norway","Bergen ,Norway",No,No,No,https://www.jobbnorge.no/en/available-jobs/job/259823/phd-research-fellow-in-microbial-ecology,06/01/2024
"Doctoral Scholarships in Pharmaceutical Sciences, Trinity College Dublin, Ireland","Dublin ,Ireland",No,No,No,https://pharmacy.tcd.ie/research/Panoz_PhD.php,05/10/2024
"PhD Scholarship in Organic Synthesis, Aix Marseille Université, France","Merseill ,France",No,No,No,https://euraxess.ec.europa.eu/jobs/211068,05/31/2024
"Doctoral Research in Thermal Engineering, Location: Instituto de Ciencia de Materiales de Madrid, Spain","Madrid ,Spain",No,No,No,https://euraxess.ec.europa.eu/jobs/168830,05/31/2024
"Several PhD Scholarships for International Students, Kiel University, Germany","Kiel ,Germany",No,No,Yes,https://www.forschung.uni-kiel.de/de/forschungsfoerderung/stipendien/stipendienverordnung-in-verbindung-mit-satzung,05/31/2024
"PhD Position in Geopolitics and International Relations, University of Coventry/Deakin University. UK/Australia","Deakin/Coventry ,United States",No,No,No,https://www.coventry.ac.uk/research/research-opportunities/research-students/research-studentships/critical-geopolitics-international-relations-south-asia/,05/17/2024
"Doctoral Degree Position in Physical Sciences, University of Liverpool, United Kingdom","Merseyside ,United Kingdom",Yes,No,No,https://www.liverpool.ac.uk/study/postgraduate-research/studentships/development-of-bespoke-algorithms-for-autonomous-optimisation-in-flow/,06/30/2024
"PhD Research in Biomedical Sciences, The University Of West London’l, United Kingdom","London ,United Kingdom",Yes,No,No,http://www.uwl.ac.uk/research/research-degrees/phd-opportunities,05/15/2024
"Phd Position in Agrobiosciences and Crop Production, Sant’Anna di Pisa, Italy","Pisa ,Italy",Yes,No,No,https://sssup.esse3.cineca.it/Home.do?cod_lingua=eng,05/07/2024
"PhD Scholarship in Metabolic Signaling, University of Fribourg, Switzerland","Freiburg ,Switzerland",No,No,No,https://cfatg.org/en/offres_emploi/phd-students-in-autophagy-and-metabolic-signaling-2/,07/01/2024
"PhD Research in Particle Physics, Liège University, Belgium","Liège ,Belgium",No,No,No,https://inspirehep.net/jobs/2769416,06/30/2024
"PhD Position in Engineering Science, University of Ferrara, Italy","Ferrara ,Italy",No,No,No,https://euracoustics.org/jobs/phd-position-fields-indoor-soundscape-and-classroom-acoustics-department-engineering-university-ferrara-ferrara-italy/,07/26/2024
"The Global South PhD Scholarships, The Australian National University, Australia","Melbourne ,Australia",No,No,No,https://bellschool.anu.edu.au/ir/study-us-ir/global-south-phd-position,05/31/2024
"International Postdoctoral Fellowship, Mahidol University, Thailand","Phuttamonthon ,Thailand",No,No,No,https://op.mahidol.ac.th/ir/postdoc/,05/31/2024
"Post-doctoral Fellowships, Shandong University, China","Shenzhen ,China",No,No,No,https://warwick.ac.uk/fac/cross_fac/xmas/impact/xmas_scientist_experienceb/se2024/,12/31/2024
"Doctoral Research in Material Science, Spintec, France","Montpellier ,France",No,No,No,https://www.spintec.fr/phd-position-high-throughput-screening-of-2d-spintronic-materials/,06/01/2024
"Multiple Doctoral Funding in Life Sciences, University of Zurich, Switzerland","Zurich ,Switzerland",No,No,No,https://www.lifescience-graduateschool.uzh.ch/en/application,06/30/2024
"Doctoral Research in Engineering and Physics, Southampton University, United Kingdom","Southampton ,United Kingdom",No,No,Yes,https://www.southampton.ac.uk/study/postgraduate-research/projects/exploring-plants-sensing-capability-with-vibroacoustics,08/25/2024
"Fully Funded Rotary Peace Fellowship, United States","New York ,United States",Yes,No,No,https://www.rotary.org/en/peace-fellowships,05/16/2024
"PhD Position in Geography, Coventry University, United Kingdom","Conventry ,United Kingdom",No,No,No,https://www.coventry.ac.uk/research/research-opportunities/research-students/research-studentships/post-hurricane-damage-and-recovery/,05/24/2024
"International Postgraduate Leadership Scholarships, University of Glasgow, Scotland","Glasgow ,United Kingdom",No,No,No,https://www.gla.ac.uk/scholarships/universityofglasgowinternationalleadershipscholarship/,07/31/2024
Toriola Stephen Excellence Scholarship for Undergraduate Students in Nigeria,"Multiple ,Nigeria",No,No,No,https://forms.gle/gso1Aoq8j9sZwp3f6,06/30/2024
"Fully-funded PhD Position, Transportation Engineering, University of Florida, United States","Florida ,United States",No,No,No,https://jacobyan0.github.io/,05/31/2024
"Doctoral Degree Scholarships in Sciences, The Crick Institute, United Kingdom","London ,United Kingdom",No,No,No,https://www.crick.ac.uk/careers-study/vacancies/2024-02-09-tate-redmond-unlocking-intractable-drug-targets-through-rational-discovery-of-molecular-glue-degraders,06/02/2024
"Doctoral Degree Scholarships in Biomedical Engineering, ETH Zurich, Switzerland","Zurich ,Switzerland",No,No,No,https://www.jobs.ethz.ch/job/view/JOPG_ethz_PBKkRP28dOa622WRo0?mw_source=Jobmail,05/15/2024
"PhD Research Scholarship in Dynamic Material, Ghent University, Belgium","Ghent ,Belgium",No,No,No,https://www.ugent.be/en/work/scientific/phd-student-15,06/30/2024
"PhD Position in Electronic Engineering/Photonics, Vrije Universiteit Brussel, Belgium","Brussel ,Belgium",No,No,No,https://www.b-phot.org/phd-laser-dynamics-aided-crack-detection-with-optical-fiber-sensors,05/31/2024
"PhD Research Position in Physical Sciences, University of Liverpool, United Kingdom","Merseyside ,United Kingdom",No,No,No,https://www.liverpool.ac.uk/study/postgraduate-research/studentships/development-of-bespoke-algorithms-for-autonomous-optimisation-in-flow/,06/30/2024
"Doctoral Degree Research in Chemistry, University of Liverpool, United Kingdom","Merseyside ,United Kingdom",No,No,No,https://www.liverpool.ac.uk/study/postgraduate-research/studentships/non-thermal-plasma-as-a-chemical-reagent-elucidating-mechanism-and-exploring-ntp-for-pharmaceutically-relevant-electroreductive-reactions/,01/10/2025
"PhD Position in Mechanical Engineering, Ghent University, Belgium","Ghent ,Belgium",No,No,No,https://www.ugent.be/en/work/scientific/phd-student-15,06/30/2024
"McKenzie Postdoctoral Fellowships Scheme, The University Of Melbourne, Australia","Melbourne ,Australia",No,No,No,https://sites.research.unimelb.edu.au/research-funding/researcher-development-schemes/mckenzie-fellowship,06/14/2024
"PhD Position Machine Learning, Ghent University, Belgium","Ghent ,Belgium",No,No,No,https://researchtweet.com/academic-jobs/fully-funded-phd-position-in-surrogate-modeling-and-machine-learning/,07/01/2024
